Name,Maximum Wind,Year,Month,Latitude,Longitude
           CAROLINE,100.0,1975,8,24.0,97.0
           DANIELLE,115.0,2010,8,27.1,60.1
           FLORENCE,100.0,1953,9,25.9,87.5
           FRANKLIN,60.0,2005,7,29.2,75.4
           FREDERIC,115.0,1979,9,27.4,87.0
           GERTRUDE,65.0,1974,9,11.0,53.0
           HORTENSE,120.0,1996,9,25.9,71.5
           HUMBERTO,95.0,1995,8,15.7,43.2
           MICHELLE,120.0,2001,11,20.1,83.3
           NICHOLAS,60.0,2003,10,15.5,48.0
           NINETEEN,30.0,2005,9,12.2,33.0
           PHILIPPE,80.0,2011,10,28.2,59.7
          CHRISTINE,60.0,1973,9,14.9,55.5
          CLAUDETTE,115.0,1991,9,27.0,61.5
          CRISTOBAL,75.0,2014,8,37.5,63.6
          FRANCELIA,100.0,1969,9,16.4,86.7
          GABRIELLE,125.0,1989,9,19.3,55.7
          JOSEPHINE,90.0,1984,10,31.4,71.7
          SEBASTIEN,55.0,1995,10,21.5,58.5
         TWENTY-TWO,40.0,2005,10,38.7,73.5
